,Measured Speed Up 2,Measured Speed Up 4,Measured Speed Up 8,Cumulative Speed Up 2,Cumulative Speed Up 4,Cumulative Speed Up 8
Array A0,0.0,0.0,0.0,0.0,0.0,0.0
Array A1,0.0,0.0,0.0,0.0,0.0,0.0
Array A2,0.0,0.0,0.0,0.0,0.0,0.0
Array A3,0.0,0.0,0.0,0.0,0.0,0.0
Array A4,0.042109497511218015,0.04031235844443684,0.030616686148333162,0.008696646407962505,0.008179528479187173,0.006087049079157012
Array A5,0.028495035697852875,0.0260108461807961,0.01977604479092057,0.011934092881906519,0.011169012752337983,0.008341414982922417
Array A6,0.06529971211605894,0.0603137439757097,0.04153745437578154,0.01957440074722195,0.01828480087115224,0.013490815911984767
Array A7,0.1509580471286377,0.1391195424194499,0.09394012996189244,0.036399123196766435,0.03394193143074101,0.024745787939490536
