PairIndex,Time_1P,Time_2P,Time_4P,Time_8P,Cumulative_1P,Cumulative_2P,Cumulative_4P,Cumulative_8P
0,0.022513151168823242,0.16062092781066895,0.17862224578857422,0.23714637756347656,0.022513151168823242,0.16062092781066895,0.17862224578857422,0.23714637756347656
1,0.006787776947021484,0.16830229759216309,0.18219208717346191,0.24042057991027832,0.029300928115844727,0.32892322540283203,0.36081433296203613,0.4775669574737549
2,0.005263805389404297,0.17128682136535645,0.17710471153259277,0.25481200218200684,0.03456473350524902,0.5002100467681885,0.5379190444946289,0.7323789596557617
3,0.0023894309997558594,0.17154836654663086,0.17956781387329102,0.23669648170471191,0.03695416450500488,0.6717584133148193,0.7174868583679199,0.9690754413604736
4,0.011437416076660156,0.17484426498413086,0.18263888359069824,0.2404768466949463,0.04839158058166504,0.8466026782989502,0.9001257419586182,1.20955228805542
5,0.009192466735839844,0.16549968719482422,0.1813058853149414,0.2384662628173828,0.05758404731750488,1.0121023654937744,1.0814316272735596,1.4480185508728027
6,0.011876106262207031,0.1691136360168457,0.18309378623962402,0.26585817337036133,0.06946015357971191,1.1812160015106201,1.2645254135131836,1.713876724243164
7,0.0263216495513916,0.17347955703735352,0.18824195861816406,0.2787747383117676,0.09578180313110352,1.3546955585479736,1.4527673721313477,1.9926514625549316
