Group Index,Sequential Time (Group),Cumulative Sequential Time (Group)
G0,0.0476839542389,0.0476839542389
G1,0.0357468128204,0.0834307670593
G2,0.0413303375244,0.1247611045837
G3,0.0478069782257,0.1725680828094
G4,0.0422232151031,0.2147912979126
G5,0.0378360748291,0.2526273727417
G6,0.0461599826813,0.2987873554230
G7,0.0391645431519,0.3379518985748
G8,0.0478539466858,0.3858058452606
G9,0.0403285026550,0.4261343479156
