Array Ai,Measured Sequential Time,Cumulative Sequential Time
A0,0.0000000000000,0.0000000000000
A1,0.0000000000000,0.0000000000000
A2,0.0000000000000,0.0000000000000
A3,0.0000000000000,0.0000000000000
A4,0.0073626041412,0.0073626041412
A5,0.0047159194946,0.0120785236359
A6,0.0110430717468,0.0231215953827
A7,0.0261881351471,0.0493097305298
